,Importance
HEIGHTM,0.2567755937587364
Difficulty,0.2532794481149935
Max_Height__>6000,0.07524302606506796
MO2USED,0.07312729252015673
Max_Height__<2000,0.04640689065395252
Age__Unknown,0.024821331493183867
MSEASON_3,0.024032632091302804
MSEASON_1,0.023969916884634224
Past_Exped__1-5,0.0169138079382943
Past_Exped__25-35,0.016711591098693367
MSEASON_4,0.016213432514280167
Age__18-30,0.016210755465832775
Past_Exped__10-25,0.01521965415855621
Past_Exped__35-50,0.015032055012705688
Age__40-50,0.013988794032034528
MSEASON_2,0.013686343483124839
Age__30-40,0.013139239330337957
Age__50-60,0.011744183641804599
Past_Exped__50-100,0.011602956711561177
Past_Exped__0,0.011507070911433185
Past_Exped__5-10,0.01129380341201992
Age__>60,0.011159899923701356
Age__<18,0.010248756828703008
Max_Height__4000-6000,0.010128521528510388
Past_Exped__>100,0.007462045144309188
Max_Height__2000-4000,7.50291580489997e-05
MSEASON_0,5.928124020409776e-06
